symbol,bidPrice,bidQty,askPrice,askQty
UNIAUD,0.00000000,0.00000000,0.00000000,0.00000000
HIVEBUSD,0.00000000,0.00000000,0.00000000,0.00000000
STPTBUSD,0.00000000,0.00000000,0.00000000,0.00000000
BETABTC,0.00000000,0.00000000,0.00000000,0.00000000
BETABNB,0.00000000,0.00000000,0.00000000,0.00000000
BETABUSD,0.00000000,0.00000000,0.00000000,0.00000000
BETAUSDT,0.00000000,0.00000000,0.00000000,0.00000000
SHIBAUD,0.00000000,0.00,0.00000000,0.00
RAREBTC,0.00000000,0.00000000,0.00000000,0.00000000
RAREBNB,0.00000000,0.00000000,0.00000000,0.00000000
RAREBUSD,0.00000000,0.00000000,0.00000000,0.00000000
RAREUSDT,0.01420000,546695.00000000,0.01430000,336411.50000000
AVAXBRL,45.30000000,28.32000000,45.40000000,222.51000000
AVAXAUD,0.00000000,0.00000000,0.00000000,0.00000000
LUNAAUD,0.00000000,0.00000000,0.00000000,0.00000000
TROYBUSD,0.00000000,0.00000000,0.00000000,0.00000000
AXSETH,0.00000000,0.00000000,0.00000000,0.00000000
FTMETH,0.00000000,0.00000000,0.00000000,0.00000000
SOLETH,0.03873000,3.53300000,0.03874000,9.90800000
SSVBTC,0.00000000,0.00000000,0.00000000,0.00000000
SSVETH,0.00000000,0.00000000,0.00000000,0.00000000
LAZIOTRY,29.66000000,62.43000000,29.70000000,8.43000000
LAZIOEUR,0.00000000,0.00000000,0.00000000,0.00000000
LAZIOBTC,0.00000000,0.00000000,0.00000000,0.00000000
LAZIOUSDT,0.66600000,166.50000000,0.66800000,696.42000000
CHESSBTC,0.00000000,0.00000000,0.00000000,0.00000000
CHESSBNB,0.00000000,0.00000000,0.00000000,0.00000000
CHESSBUSD,0.00000000,0.00000000,0.00000000,0.00000000
CHESSUSDT,0.00000000,0.00000000,0.00000000,0.00000000
FTMAUD,0.00000000,0.00000000,0.00000000,0.00000000
FTMBRL,0.00000000,0.00000000,0.00000000,0.00000000
SCRTBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ADXUSDT,0.06830000,73887.00000000,0.06840000,25446.00000000
AUCTIONUSDT,4.59000000,82.65000000,4.60000000,579.37000000
CELOBUSD,0.00000000,0.00000000,0.00000000,0.00000000
FTMRUB,0.00000000,0.00000000,0.00000000,0.00000000
NUAUD,0.00000000,0.00000000,0.00000000,0.00000000
NURUB,0.00000000,0.00000000,0.00000000,0.00000000
REEFTRY,0.00000000,0.00000000,0.00000000,0.00000000
REEFBIDR,0.00,0.00000000,0.00,0.00000000
SHIBDOGE,0.00000000,0.00,0.00000000,0.00
DARUSDT,0.00000000,0.00000000,0.00000000,0.00000000
DARBUSD,0.00000000,0.00000000,0.00000000,0.00000000
DARBNB,0.00000000,0.00000000,0.00000000,0.00000000
DARBTC,0.00000000,0.00000000,0.00000000,0.00000000
BNXBTC,0.00000000,0.00000000,0.00000000,0.00000000
BNXBNB,0.00000000,0.00000000,0.00000000,0.00000000
BNXBUSD,0.00000000,0.00000000,0.00000000,0.00000000
BNXUSDT,0.00000000,0.00000000,0.00000000,0.00000000
RGTUSDT,0.00000000,0.00000000,0.00000000,0.00000000
RGTBTC,0.00000000,0.00000000,0.00000000,0.00000000
RGTBUSD,0.00000000,0.00000000,0.00000000,0.00000000
